id,run_type,number_added,avg_time_per_insert,total_nodes,operation_count,height, rotations
14650000,random_avl_insertion,46224770,0.000002956,14650000,378,28,1
14700000,random_avl_insertion,50579929,0.000003142,14700000,338,28,0
14750000,random_avl_insertion,3564446,0.000002971,14750000,385,28,2
14800000,random_avl_insertion,31195334,0.000002780,14800000,371,28,2
14850000,random_avl_insertion,50257511,0.000002827,14850000,371,28,2
14900000,random_avl_insertion,70191978,0.000002979,14900000,371,28,2
14950000,random_avl_insertion,25262772,0.000002961,14950000,338,29,0
15000000,random_avl_insertion,23874957,0.000003136,15000000,350,29,1
15050000,random_avl_insertion,64328814,0.000002870,15050000,324,29,0
15100000,random_avl_insertion,86127095,0.000002832,15100000,324,29,0
15150000,random_avl_insertion,83688267,0.000002824,15150000,352,29,0
15200000,random_avl_insertion,46260561,0.000002828,15200000,324,29,0
15250000,random_avl_insertion,5541856,0.000002903,15250000,399,29,2
15300000,random_avl_insertion,83044165,0.000004156,15300000,338,29,0
15350000,random_avl_insertion,68710698,0.000004739,15350000,357,29,2
15400000,random_avl_insertion,6644640,0.000003509,15400000,371,29,2
15450000,random_avl_insertion,60846764,0.000003538,15450000,364,29,1
15500000,random_avl_insertion,50121567,0.000003876,15500000,338,29,0
15550000,random_avl_insertion,85918454,0.000003583,15550000,378,29,1
15600000,random_avl_insertion,19496768,0.000003015,15600000,336,29,1
15650000,random_avl_insertion,5132748,0.000003096,15650000,338,29,0
15700000,random_avl_insertion,19762651,0.000003100,15700000,310,29,0
15750000,random_avl_insertion,5352136,0.000002978,15750000,338,29,0
15800000,random_avl_insertion,33162730,0.000003028,15800000,364,29,1
15850000,random_avl_insertion,11930752,0.000003033,15850000,352,29,0
15900000,random_avl_insertion,68940945,0.000003063,15900000,343,29,2
15950000,random_avl_insertion,82205112,0.000003117,15950000,350,29,1
16000000,random_avl_insertion,55428572,0.000003012,16000000,364,29,1
16050000,random_avl_insertion,82734740,0.000003060,16050000,343,29,2
16100000,random_avl_insertion,37156538,0.000003031,16100000,385,29,2
16150000,random_avl_insertion,63877253,0.000003022,16150000,350,29,1
16200000,random_avl_insertion,33446940,0.000003079,16200000,357,29,2
16250000,random_avl_insertion,16851613,0.000002937,16250000,352,29,0
16300000,random_avl_insertion,1204149,0.000003086,16300000,324,29,0
16350000,random_avl_insertion,36164060,0.000003089,16350000,371,29,2
16400000,random_avl_insertion,15438096,0.000003328,16400000,378,29,1
16450000,random_avl_insertion,24280344,0.000002817,16450000,385,29,2
16500000,random_avl_insertion,4180883,0.000002867,16500000,364,29,1
16550000,random_avl_insertion,35735444,0.000002845,16550000,350,29,1
16600000,random_avl_insertion,55406806,0.000002890,16600000,352,29,0
16650000,random_avl_insertion,93371175,0.000002820,16650000,352,29,0
16700000,random_avl_insertion,16665240,0.000002853,16700000,385,29,2
16750000,random_avl_insertion,91781593,0.000002832,16750000,357,29,2
16800000,random_avl_insertion,16807904,0.000002871,16800000,385,29,2
16850000,random_avl_insertion,8620821,0.000002837,16850000,378,29,1
16900000,random_avl_insertion,66001891,0.000003044,16900000,352,29,0
16950000,random_avl_insertion,93118954,0.000002843,16950000,324,29,0
17000000,random_avl_insertion,49332426,0.000002797,17000000,352,29,0
17050000,random_avl_insertion,1524389,0.000002922,17050000,371,29,2
17100000,random_avl_insertion,25009099,0.000003003,17100000,357,29,2
17150000,random_avl_insertion,66621628,0.000002972,17150000,357,29,2
17200000,random_avl_insertion,40092534,0.000002979,17200000,350,29,1
17250000,random_avl_insertion,65859398,0.000003022,17250000,343,29,2
17300000,random_avl_insertion,26966097,0.000003065,17300000,364,29,1
17350000,random_avl_insertion,11746715,0.000003061,17350000,324,29,0
17400000,random_avl_insertion,48308137,0.000002966,17400000,338,29,0
